paper_id,title,topic,citations,year,cluster,arxiv_id
36,LookPlanGraph: Embodied Instruction Following Method with VLM Graph Augmentation,,35,2025,8,2512.21243v1
37,Improving the Convergence Rate of Ray Search Optimization for Query-Efficient Hard-Label Attacks,,36,2025,14,2512.21241v1
38,Assessing the Software Security Comprehension of Large Language Models,,37,2025,17,2512.21238v1
39,SegMo: Segment-aligned Text to 3D Human Motion Generation,Topic 4,38,2025,4,2512.21237v1
40,Casting a SPELL: Sentence Pairing Exploration for LLM Limitation-breaking,,39,2025,17,2512.21236v1
41,RoboCade: Gamifying Robot Data Collection,Topic 3,40,2025,3,2512.21235v1
42,UniTacHand: Unified Spatio-Tactile Representation for Human to Robotic Hand Skill Transfer,Topic 3,41,2025,3,2512.21233v1
43,MiST: Understanding the Role of Mid-Stage Scientific Training in Developing Chemical Reasoning Models,,42,2025,15,2512.21231v1
44,PhononBench:A Large-Scale Phonon-Based Benchmark for Dynamical Stability in Crystal Generation,,43,2025,17,2512.21227v1
45,Relative Localization System Design for SnailBot: A Modular Self-reconfigurable Robot,,44,2025,14,2512.21226v1
46,Leveraging Lightweight Entity Extraction for Scalable Event-Based Image Retrieval,,45,2025,13,2512.21221v1
47,RoboSafe: Safeguarding Embodied Agents via Executable Safety Logic,Topic 0,46,2025,0,2512.21220v1
48,Wireless Center of Pressure Feedback System for Humanoid Robot Balance Control using ESP32-C3,,47,2025,14,2512.21219v1
49,Latent Implicit Visual Reasoning,,48,2025,12,2512.21218v1
50,Microtopia: Exploring the Impact of Interdisciplinary Projects on Ethnic Minority Female Pupils' Perceptions of Computer Science,,49,2025,18,2512.21214v1
51,Causal-driven attribution (CDA): Estimating channel influence without user-level data,,10,2025,8,2512.21211v1
52,Human Motion Estimation with Everyday Wearables,Topic 4,10,2025,4,2512.21209v1
53,Analytic and Variational Stability of Deep Learning Systems,,10,2025,10,2512.21208v1
54,SpidR-Adapt: A Universal Speech Representation Model for Few-Shot Adaptation,Topic 3,10,2025,3,2512.21204v1
55,Cruising the Spectrum: Joint Spectrum Mobility and Antenna Array Management for Mobile (cm/mm)Wave Connectivity,Topic 1,10,2025,1,2512.21203v1
56,Schrödinger's Navigator: Imagining an Ensemble of Futures for Zero-Shot Object Navigation,,10,2025,6,2512.21201v1
57,Flocking phase transition and threat responses in bio-inspired autonomous drone swarms,Topic 4,10,2025,4,2512.21196v1
58,An O($nlogn$) approximate knapsack algorithm,,10,2025,14,2512.21195v1
59,VisRes Bench: On Evaluating the Visual Reasoning Capabilities of VLMs,,10,2025,12,2512.21194v1
60,Adjusted Kolmogorov Complexity of Binary Words with Empirical Entropy Normalization,,10,2025,14,2512.21193v1
61,UltraShape 1.0: High-Fidelity 3D Shape Generation via Scalable Geometric Refinement,,10,2025,6,2512.21185v1
62,Towards Arbitrary Motion Completing via Hierarchical Continuous Representation,Topic 4,11,2025,4,2512.21183v1
63,Equivariant Multiscale Learned Invertible Reconstruction for Cone Beam CT: From Simulated to Real Data,Topic 3,12,2025,3,2512.21180v1
64,A Turn Toward Better Alignment: Few-Shot Generative Adaptation with Equivariant Feature Rotation,Topic 2,13,2025,2,2512.21174v1
65,A Unified Framework for EEG Seizure Detection Using Universum-Integrated Generalized Eigenvalues Proximal Support Vector Machine,,14,2025,9,2512.21170v1
66,A Community-Enhanced Graph Representation Model for Link Prediction,,15,2025,8,2512.21166v1
67,BALLAST: Bandit-Assisted Learning for Latency-Aware Stable Timeouts in Raft,,16,2025,14,2512.21165v1
68,ElfCore: A 28nm Neural Processor Enabling Dynamic Structured Sparse Training and Online Self-Supervised Learning with Activity-Dependent Weight Update,,17,2025,10,2512.21153v1
69,MODE: Multi-Objective Adaptive Coreset Selection,Topic 3,18,2025,3,2512.21152v1
70,ORCA: Object Recognition and Comprehension for Archiving Marine Species,,19,2025,12,2512.21150v1
71,Encrypted Traffic Detection in Resource Constrained IoT Networks: A Diffusion Model and LLM Integrated Framework,,20,2025,11,2512.21144v1
72,Emotion Diffusion in Real and Simulated Social Graphs: Structural Limits of LLM-Based Social Simulation,,21,2025,5,2512.21138v1
73,Declarative distributed broadcast using three-valued modal logic and semitopologies,,22,2025,17,2512.21137v1
74,TGC-Net: A Structure-Aware and Semantically-Aligned Framework for Text-Guided Medical Image Segmentation,,23,2025,13,2512.21135v1
75,SparScene: Efficient Traffic Scene Representation via Sparse Graph Learning for Large-Scale Trajectory Generation,,24,2025,8,2512.21133v1
76,AutoBaxBuilder: Bootstrapping Code Security Benchmarking,,25,2025,17,2512.21132v1
77,Approximation Schemes for Planar Graph Connectivity Problems,,26,2025,8,2512.21128v1
78,A Real-World Evaluation of LLM Medication Safety Reviews in NHS Primary Care,,27,2025,5,2512.21127v1
79,MarineEval: Assessing the Marine Intelligence of Vision-Language Models,,28,2025,12,2512.21126v1
80,ClarifyMT-Bench: Benchmarking and Improving Multi-Turn Clarification for Conversational Large Language Models,,29,2025,5,2512.21120v1
81,STLDM: Spatio-Temporal Latent Diffusion Model for Precipitation Nowcasting,,30,2025,11,2512.21118v1
82,Synecdoche: Efficient and Accurate In-Network Traffic Classification via Direct Packet Sequential Pattern Matching,Topic 2,31,2025,2,2512.21116v1
83,A Mechanistic Analysis of Transformers for Dynamical Systems,Topic 2,32,2025,2,2512.21113v1
84,Coding-Logic Correspondence: Turning Information and Communication Networks into Logical Formulae via Hypergraph Heyting Algebra,,33,2025,10,2512.21112v1
85,Beyond Context: Large Language Models Failure to Grasp Users Intent,,34,2025,17,2512.21110v1
86,Robust and Efficient MuJoCo-based Model Predictive Control via Web of Affine Spaces Derivatives,,35,2025,14,2512.21109v1
87,Semi-Supervised Learning for Large Language Models Safety and Content Moderation,,36,2025,17,2512.21107v1
88,Semantic Refinement with LLMs for Graph Representations,,37,2025,8,2512.21106v1
89,Volatile Organic Compounds for Stress Detection: A Scoping Review and Exploratory Feasibility Study with Low-Cost Sensors,,38,2025,14,2512.21105v1
90,FreeInpaint: Tuning-free Prompt Alignment and Visual Rationality Enhancement in Image Inpainting,,39,2025,11,2512.21104v1
91,Shared Representation Learning for High-Dimensional Multi-Task Forecasting under Resource Contention in Cloud-Native Backends,Topic 2,40,2025,2,2512.21102v1
92,TexAvatars : Hybrid Texel-3D Representations for Stable Rigging of Photorealistic Gaussian Head Avatars,,41,2025,6,2512.21099v1
93,UniRec-0.1B: Unified Text and Formula Recognition with 0.1B Parameters,,42,2025,13,2512.21095v1
94,T2AV-Compass: Towards Unified Evaluation for Text-to-Audio-Video Generation,,43,2025,16,2512.21094v1
95,Global End-Effector Pose Control of an Underactuated Aerial Manipulator via Reinforcement Learning,Topic 1,44,2025,1,2512.21085v1
96,Verification of E-Voting Algorithms in Dafny,,45,2025,14,2512.21084v1
97,Hierarchical Modeling Approach to Fast and Accurate Table Recognition,Topic 2,46,2025,2,2512.21083v1
98,Dyna-Style Reinforcement Learning Modeling and Control of Non-linear Dynamics,Topic 1,47,2025,1,2512.21081v1
99,LLM Personas as a Substitute for Field Experiments in Method Benchmarking,,48,2025,14,2512.21080v1
100,UniPR-3D: Towards Universal Visual Place Recognition with Visual Geometry Grounded Transformer,,49,2025,6,2512.21078v1
101,Blurb-Refined Inference from Crowdsourced Book Reviews using Hierarchical Genre Mining with Dual-Path Graph Convolutions,,10,2025,8,2512.21076v1
102,Understanding Scaling Laws in Deep Neural Networks via Feature Learning Dynamics,,10,2025,10,2512.21075v1
103,Agentic Explainable Artificial Intelligence (Agentic XAI) Approach To Explore Better Explanation,,10,2025,18,2512.21066v1
104,Language-Guided Grasp Detection with Coarse-to-Fine Learning for Robotic Manipulation,,10,2025,12,2512.21065v1
105,Multimodal Skeleton-Based Action Representation Learning via Decomposition and Composition,,10,2025,13,2512.21064v1
106,Beyond Pixel Simulation: Pathology Image Generation via Diagnostic Semantic Tokens and Prototype Control,,10,2025,13,2512.21058v1
107,Making AI Work: An Autoethnography of a Workaround in Higher Education,,10,2025,18,2512.21055v1
108,DexAvatar: 3D Sign Language Reconstruction with Hand and Body Pose Priors,,10,2025,6,2512.21054v1
109,Optical Flow-Guided 6DoF Object Pose Tracking with an Event Camera,Topic 4,10,2025,4,2512.21053v1
110,Matrix Completion Via Reweighted Logarithmic Norm Minimization,,10,2025,14,2512.21050v1
111,zkFL-Health: Blockchain-Enabled Zero-Knowledge Federated Learning for Medical AI Privacy,,10,2025,18,2512.21048v1
112,Device-Independent Anonymous Communication in Quantum Networks,,11,2025,7,2512.21047v1
113,Tracing Energy Flow: Learning Tactile-based Grasping Force Control to Prevent Slippage in Dynamic Object Interaction,Topic 4,12,2025,4,2512.21043v1
114,When LLMs fall short in Deductive Coding: Model Comparison and Human AI Collaboration Workflow Design,,13,2025,18,2512.21041v1
115,A Large-Depth-Range Layer-Based Hologram Dataset for Machine Learning-Based 3D Computer-Generated Holography,,14,2025,6,2512.21040v1
116,Agentic Multi-Persona Framework for Evidence-Aware Fake News Detection,,15,2025,9,2512.21039v1
117,Next-Scale Prediction: A Self-Supervised Approach for Real-World Image Denoising,Topic 2,16,2025,2,2512.21038v1
118,A Design Study Process Model for Medical Visualization,,17,2025,14,2512.21034v1
119,Quantum Homotopy Algorithm for Solving Nonlinear PDEs and Flow Problems,,18,2025,7,2512.21033v1
120,Multi-Attribute guided Thermal Face Image Translation based on Latent Diffusion Model,Topic 2,19,2025,2,2512.21032v1
121,Critical Points of Degenerate Metrics on Algebraic Varieties: A Tale of Overparametrization,,20,2025,14,2512.21029v1
122,Artificial or Just Artful? Do LLMs Bend the Rules in Programming?,,21,2025,17,2512.21028v1
123,Policy-Conditioned Policies for Multi-Agent Task Solving,Topic 1,22,2025,1,2512.21024v1
124,Towards Better Search with Domain-Aware Text Embeddings for C2C Marketplaces,Topic 2,23,2025,2,2512.21021v1
125,Enhancing diffusion models with Gaussianization preprocessing,,24,2025,11,2512.21020v1
126,Efficient and Robust Video Defense Framework against 3D-field Personalized Talking Face,,25,2025,16,2512.21019v1
127,Rethinking Supervised Fine-Tuning: Emphasizing Key Answer Tokens for Improved LLM Accuracy,,26,2025,5,2512.21017v1
128,FluencyVE: Marrying Temporal-Aware Mamba with Bypass Attention for Video Editing,,27,2025,16,2512.21015v1
129,Granular-ball Guided Masking: Structure-aware Data Augmentation,Topic 3,28,2025,3,2512.21011v1
130,LLM Swiss Round: Aggregating Multi-Benchmark Performance via Competitive Swiss-System Dynamics,,29,2025,5,2512.21010v1
131,ESCHER: Efficient and Scalable Hypergraph Evolution Representation with Application to Triad Counting,,30,2025,14,2512.21009v1
132,GateBreaker: Gate-Guided Attacks on Mixture-of-Expert LLMs,,31,2025,17,2512.21008v1
133,Learning from Neighbors with PHIBP: Predicting Infectious Disease Dynamics in Data-Sparse Environments,Topic 3,32,2025,3,2512.21005v1
134,Learning from Next-Frame Prediction: Autoregressive Video Modeling Encodes Effective Representations,,33,2025,16,2512.21004v1
135,MVInverse: Feed-forward Multi-view Inverse Rendering in Seconds,Topic 2,34,2025,2,2512.21003v1
136,Distilling the Essence: Efficient Reasoning Distillation via Sequence Truncation,,35,2025,15,2512.21002v1
137,CoSeNet: A Novel Approach for Optimal Segmentation of Correlation Matrices,,36,2025,14,2512.21000v1
138,LLM-Empowered Agentic AI for QoE-Aware Network Slicing Management in Industrial IoT,,37,2025,18,2512.20997v1
139,TrafficSimAgent: A Hierarchical Agent Framework for Autonomous Traffic Simulation with MCP Control,Topic 0,38,2025,0,2512.20996v1
140,Multimodal Sensing for Robot-Assisted Sub-Tissue Feature Detection in Physiotherapy Palpation,,39,2025,9,2512.20992v1
141,FinAgent: An Agentic AI Framework Integrating Personal Finance and Nutrition Planning,,40,2025,18,2512.20991v1
142,Mental Health Self-Disclosure on Social Media throughout the Pandemic Period,,41,2025,14,2512.20990v1
143,PUFM++: Point Cloud Upsampling via Enhanced Flow Matching,Topic 2,42,2025,2,2512.20988v1
144,AegisAgent: An Autonomous Defense Agent Against Prompt Injection Attacks in LLM-HARs,,43,2025,5,2512.20986v1
145,A Blockchain-Monitored Agentic AI Architecture for Trusted Perception-Reasoning-Action Pipelines,,44,2025,18,2512.20985v1
146,Knowledge-Driven 3D Semantic Spectrum Map: KE-VQ-Transformer Based UAV Semantic Communication and Map Completion,,45,2025,6,2512.20984v1
147,Automatic Replication of LLM Mistakes in Medical Conversations,,46,2025,5,2512.20983v1
148,Leveraging Overfitting for Low-Complexity and Modality-Agnostic Joint Source-Channel Coding,,47,2025,14,2512.20981v1
149,X-ray Insights Unleashed: Pioneering the Enhancement of Multi-Label Long-Tail Data,,48,2025,11,2512.20980v1
150,GenTSE: Enhancing Target Speaker Extraction via a Coarse-to-Fine Generative Language Model,Topic 3,49,2025,3,2512.20978v1
151,XGrid-Mapping: Explicit Implicit Hybrid Grid Submaps for Efficient Incremental Neural LiDAR Mapping,Topic 2,10,2025,2,2512.20976v1
152,SPOT!: Map-Guided LLM Agent for Unsupervised Multi-CCTV Dynamic Object Tracking,Topic 0,10,2025,0,2512.20975v1
153,Generalised Linear Models in Deep Bayesian RL with Learnable Basis Functions,,10,2025,10,2512.20974v1
154,DAO-Agent: Zero Knowledge-Verified Incentives for Decentralized Multi-Agent Coordination,Topic 0,10,2025,0,2512.20973v1
155,Mesh-Attention: A New Communication-Efficient Distributed Attention with Improved Data Locality,,10,2025,10,2512.20968v1
156,Deadline-Aware Online Scheduling for LLM Fine-Tuning with Spot Market Predictions,Topic 1,10,2025,1,2512.20967v1
157,Neutralization of IMU-Based GPS Spoofing Detection using external IMU sensor and feedback methodology,,10,2025,9,2512.20964v1
158,Generalization of Diffusion Models Arises with a Balanced Representation Space,,10,2025,11,2512.20963v1
159,Time-Bucketed Balance Records: Bounded-Storage Ephemeral Tokens for Resource-Constrained Systems,,10,2025,14,2512.20962v1
160,Fairness in the k-Server Problem,,10,2025,14,2512.20960v1
161,Can Agentic AI Match the Performance of Human Data Scientists?,,10,2025,18,2512.20959v1
162,ReACT-Drug: Reaction-Template Guided Reinforcement Learning for de novo Drug Design,Topic 1,11,2025,1,2512.20958v1
163,One Tool Is Enough: Reinforcement Learning for Repository-Level LLM Agents,,12,2025,5,2512.20957v1
164,Solving Functional PDEs with Gaussian Processes and Applications to Functional Renormalization Group Equations,,13,2025,14,2512.20956v1
165,Reflection Pretraining Enables Token-Level Self-Correction in Biological Sequence Models,,14,2025,15,2512.20954v1
166,Diving into 3D Parallelism with Heterogeneous Spot Instance GPUs: Design and Implications,,15,2025,6,2512.20953v1
167,From Human Bias to Robot Choice: How Occupational Contexts and Racial Priming Shape Robot Selection,Topic 0,16,2025,0,2512.20951v1
168,MultiMind at SemEval-2025 Task 7: Crosslingual Fact-Checked Claim Retrieval via Multi-Source Alignment,Topic 3,17,2025,3,2512.20950v1
169,Neural Probe-Based Hallucination Detection for Large Language Models,,18,2025,9,2512.20949v1
170,"Foundation Model-based Evaluation of Neuropsychiatric Disorders: A Lifespan-Inclusive, Multi-Modal, and Multi-Lingual Study",Topic 2,19,2025,2,2512.20948v1
171,SLIDE: Simultaneous Model Downloading and Inference at the Wireless Network Edge,,20,2025,14,2512.20946v1
172,SACodec: Asymmetric Quantization with Semantic Anchoring for Low-Bitrate High-Fidelity Neural Speech Codecs,Topic 2,21,2025,2,2512.20944v1
173,AirGS: Real-Time 4D Gaussian Streaming for Free-Viewpoint Video Experiences,,22,2025,16,2512.20943v1
174,A Multi-fidelity Double-Delta Wing Dataset and Empirical Scaling Laws for GNN-based Aerodynamic Field Surrogate,Topic 3,23,2025,3,2512.20941v1
175,ETP-R1: Evolving Topological Planning with Reinforcement Fine-tuning for Vision-Language Navigation in Continuous Environments,,24,2025,8,2512.20940v1
176,Stochastic well-structured transition systems,,25,2025,14,2512.20939v1
177,Pioneering Multimodal Emotion Recognition in the Era of Large Models: From Closed Sets to Open Vocabularies,,26,2025,13,2512.20938v1
178,Beyond Artifacts: Real-Centric Envelope Modeling for Reliable AI-Generated Image Detection,,27,2025,9,2512.20937v1
179,Reasoning-Driven Amodal Completion: Collaborative Agents and Perceptual Evaluation,,28,2025,15,2512.20936v1
180,Transductive Visual Programming: Evolving Tool Libraries from Experience for Spatial Reasoning,,29,2025,12,2512.20934v1
181,Guardrailed Elasticity Pricing: A Churn-Aware Forecasting Playbook for Subscription Strategy,,30,2025,14,2512.20932v1
182,Certifiable Alignment of GNSS and Local Frames via Lagrangian Duality,,31,2025,14,2512.20931v1
183,Decoding Predictive Inference in Visual Language Processing via Spatiotemporal Neural Coherence,,32,2025,10,2512.20929v1
184,Quantile Rendering: Efficiently Embedding High-dimensional Feature on 3D Gaussian Splatting,,33,2025,6,2512.20927v1
185,"Uncovering Hierarchical Structure in LLM Embeddings with $δ$-Hyperbolicity, Ultrametricity, and Neighbor Joining",,34,2025,5,2512.20926v1
186,Clever Hans in Chemistry: Chemist Style Signals Confound Activity Prediction on Public Benchmarks,Topic 3,35,2025,3,2512.20924v1
187,Self-supervised Multiplex Consensus Mamba for General Image Fusion,Topic 2,36,2025,2,2512.20921v1
188,RevFFN: Memory-Efficient Full-Parameter Fine-Tuning of Mixture-of-Experts LLMs with Reversible Blocks,,37,2025,17,2512.20920v1
189,MMSRARec: Summarization and Retrieval Augumented Sequential Recommendation Based on Multimodal Large Language Model,,38,2025,13,2512.20916v1
190,Towards a General Framework for Predicting and Explaining the Hardness of Graph-based Combinatorial Optimization Problems using Machine Learning and Association Rule Mining,,39,2025,8,2512.20915v1
191,Where Did This Sentence Come From? Tracing Provenance in LLM Reasoning Distillation,,40,2025,15,2512.20908v1
192,PanoGrounder: Bridging 2D and 3D with Panoramic Scene Representations for VLM-based 3D Visual Grounding,,41,2025,6,2512.20907v1
193,DiEC: Diffusion Embedded Clustering,,42,2025,11,2512.20905v1
194,Efficient Computation of Integer-constrained Cones for Conformal Parameterizations,,43,2025,14,2512.20904v1
195,Embodied AI-Enhanced IoMT Edge Computing: UAV Trajectory Optimization and Task Offloading with Mobility Prediction,,44,2025,18,2512.20902v1
196,Benchmarking and Enhancing VLM for Compressed Image Understanding,,45,2025,12,2512.20901v1
197,When Experts Speak:Sequential LLM-Bayesian Learning for Startup Success Prediction,,46,2025,5,2512.20900v1
198,DGSAN: Dual-Graph Spatiotemporal Attention Network for Pulmonary Nodule Malignancy Prediction,,47,2025,8,2512.20898v1
199,Accurate and Diverse Recommendations via Propensity-Weighted Linear Autoencoders,,48,2025,14,2512.20896v1
200,Time-Efficient Evaluation and Enhancement of Adversarial Robustness in Deep Neural Networks,,49,2025,10,2512.20893v1
201,Beyond Weight Adaptation: Feature-Space Domain Injection for Cross-Modal Ship Re-Identification,Topic 2,10,2025,2,2512.20892v1
202,Stretchable and High-Precision Optical Tactile Sensor for Trajectory Tracking of Parallel Mechanisms,Topic 2,10,2025,2,2512.20888v1
203,From GNNs to Symbolic Surrogates via Kolmogorov-Arnold Networks for Delay Prediction,,10,2025,10,2512.20885v1
204,The Silent Scholar Problem: A Probabilistic Framework for Breaking Epistemic Asymmetry in LLM Agents,Topic 0,10,2025,0,2512.20884v1
205,Uplink RSMA Performance Analysis with Rate Adaptation: A Stochastic Geometry Approach,Topic 2,10,2025,2,2512.20883v1
206,Architectural Trade-offs in Small Language Models Under Compute Constraints,Topic 2,10,2025,2,2512.20877v1
207,Proprioception Enhances Vision Language Model in Generating Captions and Subtask Segmentations for Robot Task,Topic 4,10,2025,4,2512.20876v1
208,Better Call Graphs: A New Dataset of Function Call Graphs for Malware Classification,,10,2025,8,2512.20872v1
209,NeRV360: Neural Representation for 360-Degree Videos with a Viewport Decoder,,10,2025,16,2512.20871v1
210,In-Place BWT and Lyndon Array Construction in Constant Space,,10,2025,14,2512.20869v1
211,Early warning signals for loss of control,,10,2025,14,2512.20868v1
212,Lightweight framework for underground pipeline recognition and spatial localization based on multi-view 2D GPR images,,11,2025,6,2512.20866v1
213,Robustness Certificates for Neural Networks against Adversarial Attacks,Topic 3,12,2025,3,2512.20865v1
214,(Im)possibility of Incentive Design for Challenge-based Blockchain Protocols,,13,2025,14,2512.20864v1
215,Memory-Efficient Acceleration of Block Low-Rank Foundation Models on Resource Constrained GPUs,Topic 2,14,2025,2,2512.20861v1
216,"pokiSEC: A Multi-Architecture, Containerized Ephemeral Malware Detonation Sandbox",,15,2025,9,2512.20860v1
217,ALIVE: An Avatar-Lecture Interactive Video Engine with Content-Aware Retrieval for Real-Time Interaction,,16,2025,13,2512.20858v1
218,NVIDIA Nemotron 3: Efficient and Open Intelligence,,17,2025,15,2512.20856v1
219,How important is Recall for Measuring Retrieval Quality?,,18,2025,13,2512.20854v1
220,"Nemotron 3 Nano: Open, Efficient Mixture-of-Experts Hybrid Mamba-Transformer Model for Agentic Reasoning",,19,2025,15,2512.20848v1
221,YCB-Handovers Dataset: Analyzing Object Weight Impact on Human Handovers to Adapt Robotic Handover Motion,Topic 4,20,2025,4,2512.20847v1
222,MAR:Multi-Agent Reflexion Improves Reasoning Abilities in LLMs,,21,2025,5,2512.20845v1
223,Input-Adaptive Visual Preprocessing for Efficient Fast Vision-Language Model Inference,,22,2025,12,2512.20839v1
224,CHAMMI-75: pre-training multi-channel models with heterogeneous microscopy images,Topic 3,23,2025,3,2512.20833v1
225,Context-Sensitive Abstractions for Reinforcement Learning with Parameterized Actions,Topic 0,24,2025,0,2512.20831v1
226,"NotSoTiny: A Large, Living Benchmark for RTL Code Generation",,25,2025,17,2512.20823v1
227,MediEval: A Unified Medical Benchmark for Patient-Contextual and Knowledge-Grounded Reasoning in LLMs,,26,2025,17,2512.20822v1
228,Defending against adversarial attacks using mixture of experts,Topic 3,27,2025,3,2512.20821v1
229,EssayCBM: Rubric-Aligned Concept Bottleneck Models for Transparent Essay Grading,,28,2025,5,2512.20817v1
230,Learning to Sense for Driving: Joint Optics-Sensor-Model Co-Design for Semantic Segmentation,,29,2025,10,2512.20815v1
231,FedMPDD: Communication-Efficient Federated Learning with Privacy Preservation Attributes via Projected Directional Derivative,,30,2025,10,2512.20814v1
232,GraphFire-X: Physics-Informed Graph Attention Networks and Structural Gradient Boosting for Building-Scale Wildfire Preparedness at the Wildland-Urban Interface,,31,2025,8,2512.20813v1
233,Semantic Deception: When Reasoning Models Can't Compute an Addition,,32,2025,15,2512.20812v1
234,Weighted MCC: A Robust Measure of Multiclass Classifier Performance for Observations with Individual Weights,Topic 2,33,2025,2,2512.20811v1
235,Hardware-Algorithm Co-Design for Hyperdimensional Computing Based on Memristive System-on-Chip,,34,2025,14,2512.20808v1
236,Safety Alignment of LMs via Non-cooperative Games,Topic 0,35,2025,0,2512.20806v1
237,A Benchmark for Evaluating Outcome-Driven Constraint Violations in Autonomous AI Agents,Topic 0,36,2025,0,2512.20798v1
238,Assessing Coronary Microvascular Dysfunction using Angiography-based Data-driven Methods,Topic 3,37,2025,3,2512.20797v1
239,Measuring Mechanistic Independence: Can Bias Be Removed Without Erasing Demographics?,Topic 2,38,2025,2,2512.20796v1
240,RHAPSODY: Execution of Hybrid AI-HPC Workflows at Scale,,39,2025,18,2512.20795v1
241,Investigating Model Editing for Unlearning in Large Language Models,Topic 2,40,2025,2,2512.20794v1
242,X-GridAgent: An LLM-Powered Agentic AI System for Assisting Power Grid Analysis,,41,2025,5,2512.20789v1
243,Symbolic regression for defect interactions in 2D materials,,42,2025,10,2512.20785v1
244,NULLBUS: Multimodal Mixed-Supervision for Breast Ultrasound Segmentation via Nullable Global-Local Prompts,,43,2025,13,2512.20783v1
245,Soft Filtering: Guiding Zero-shot Composed Image Retrieval with Prescriptive and Proscriptive Constraints,,44,2025,13,2512.20781v1
246,Large Language Models Approach Expert Pedagogical Quality in Math Tutoring but Differ in Instructional and Linguistic Profiles,,45,2025,5,2512.20780v1
247,Towards Optimal Performance and Action Consistency Guarantees in Dec-POMDPs with Inconsistent Beliefs and Limited Communication,Topic 0,46,2025,0,2512.20778v1
248,Improving Matrix Exponential for Generative AI Flows: A Taylor-Based Approach Beyond Paterson--Stockmeyer,,47,2025,14,2512.20777v1
249,Sark: Oblivious Integrity Without Global State,,48,2025,14,2512.20775v1
